hotel_name,address,dis_to_center_km,closest_metro_station,dis_to_closest_station_m,walk_time_to_closest_station_min,rating,stars
Гостиница Каприз,"Москва, ул. Краснодонская, д. 2а",11.2,Волжская,781.0,9,9.1,nan
Гостиница Ордынка,"Москва, ул. Большая Ордынка, д. 59/2",2.4,Добрынинская,420.0,5,9.6,2
Отель Заречье,"Москва, ул. Люсиновская, д. 62",4.0,Шаболовская,830.0,10,8.7,3
Отель Travelroom,"Москва, ул. 3-я Ямского Поля, д. 30",4.5,Белорусская,960.0,12,8.1,nan
Гостиница Веллион Павелецкая,"Москва, ул. Бахрушина, д. 21/4",2.4,Павелецкая,300.0,4,9.3,3
Отель Blues,"Москва, ул. Доватора, д. 8",4.7,Спортивная,371.0,4,8.9,4
Хостел ONE Кузнецкий Мост,"Москва, ул. Кузнецкий Мост, д. 19, стр. 1",1.0,Кузнецкий Мост,92.0,1,9.3,nan
Jazz Hotel,"Москва, Старокаширское ш., д. 2, корп. 4",10.4,Варшавская,869.0,10,9.4,3
Гостиница Лайт на Барвихинской,"Москва, ул. Барвихинская, д. 16, корп. 3",15.0,Молодежная,3000.0,36,8.1,3
Гостиница на Смирновской 25,"Москва, ул. Смирновская, д. 25, стр. 4",6.2,Нижегородская,1000.0,12,9.3,4
Гостиница Кристалл,"Москва, ул. Профсоюзная, д. 4",8.0,Академическая,35.0,0,8.9,3
Отель Ватсон,"Москва, ул. Новая Басманная, д. 35",3.5,Бауманская,779.0,9,9.6,3
Отель Ситипарк,"Москва, ул. Годовикова, д. 7а",5.9,Алексеевская,601.0,7,9.4,3
Гостиница Select Hotel Paveletskaya,"Москва, Стремянный пер., д. 11",3.0,Павелецкая,454.0,5,9.3,4
Мини-отель Чехов на Тверской,"Москва, пер. Дегтярный, 15",2.0,Пушкинская,426.0,5,9.6,2
Апартаменты Комплекс апартаментов ВОСТОК,"Москва, ул. Гостиничная, д. 9",10.6,Окружная,615.0,7,8.9,nan
Хостел Автор Таганка,"Москва, ул. Александра Солженицына, д. 10, стр. 1",2.7,Марксистская,248.0,3,9.1,nan
Гостиница Даниловская,"Москва, Большой Староданиловский пер., д. 5",4.9,Тульская,392.0,5,9.3,3
Отель МКМ,"Москва, ул. Международная, д. 15",4.2,Римская,221.0,3,8.9,2
Гостиница Винтерфелл на Старом Арбате,"Москва, пер. Большой Власьевский, д. 14 стр. 2",1.9,Кропоткинская,636.0,8,9.3,nan
Гостиница Винтерфелл на Тверской,"Москва, Старопименовский пер., д. 6",2.0,Маяковская,343.0,4,8.9,nan
Отель Гостеприимный дом Семеновский,"Москва, ул. Лечебная, д. 3",8.2,Измайлово,587.0,7,9.1,2
"Апарт-отель
															Точка","Москва,
															Спартаковская пл., д. 16/15, cтр. 1",4.6,Бауманская,498.0,6,9.3,nan
Хостел Heritage,"Москва, 17с1 Мясницкая
													улица, 5 этаж",1.5,Тургеневская,221.0,3,8.5,nan
Отель Джентэльон,"Москва, ул. 1-я Брестская, д. 38, стр. 1",2.9,Маяковская,588.0,7,9.1,4
Гостевой дом Пафос у Кремля,"Москва, ул. Варсонофьевский пер., д. 8",1.1,Кузнецкий,247.0,3,8.5,1
Ахаус-отель на Нахимовском проспекте,"Москва, Нахимовский проспект, 2",10.0,Нахимовский,812.0,10,9.3,3
Отель КИГО лайнер,"Москва, 2 Khodynskiy Bul'var Entrance G (Ж), floor 9",6.4,ЦСКА,416.0,5,9.6,nan
Бутик-Отель Де Пари,"Москва, ул. Большая Бронная, д. 23, стр. 3",1.6,Пушкинская,297.0,4,9.3,4
"Отель
								Арс","Москва, ул. Новая Басманная, д. 10с/1,
								под.6. эт.5",2.9,Красные,429.0,5,8.7,3
"Хостел 1
								Мая","Москва, ул. Верхняя Первомайская, д. 36, корп. 1",12.2,Первомайская,563.0,7,8.3,nan
Отель Ситикомфорт на Тверской,"Москва, Малый Гнездниковский пер., д. 12",1.3,Тверская,217.0,3,8.5,3
Хостел Артист на Казанском,"Москва, ул. Новорязанская, д. 16/11, стр. 1",3.2,Комсомольская,454.0,5,8.3,nan
Винтерфелл на Кропоткинской,"Москва, наб. Пречистенская, д. 15, стр. 1",1.9,Парк,708.0,9,8.5,nan
Гостиница Измайлово Версаль Гамма,"Москва, Измайловское ш., д. 71, корп. 4г-д",9.1,Партизанская,377.0,5,9.1,3
"Отель
								Hanzer","Москва, Б. Головин пер., д. 25",1.9,Сухаревская,322.0,4,9.1,3
Отель Hampton by Hilton Moscow Strogino,"Москва, Улица Кулакова 20",15.3,Строгино,883.0,11,9.1,3
Дизайн-Отель Д'Отель,"Москва, ул. Ярославская, д. 8, корпус 8",7.3,ВДНХ,724.0,9,9.1,3
Гостиница Садовническая,"Москва, ул. Садовническая, д. 20, стр. 1",1.0,Новокузнецкая,485.0,6,9.4,5
Апартаменты На Мичуринском,"Москва, пр. Мичуринский, д. 34",9.8,Раменки,76.0,1,8.9,3
Отель Moscow Point-Red October,"Москва, Берсеневский пер., д. 3/10, стр. 8",1.5,Кропоткинская,628.0,8,9.4,3
"Отель
								Гестен","Москва, над. Садовническая, д. 17",1.1,Новокузнецкая,425.0,5,9.1,3
Гостиница Apple Dream Hotel,"Москва, ул. Валовая, д. 32/75 стр. 1",2.6,Добрынинская,292.0,4,9.1,2
Отель Лафаетт,"Москва, Улица Тверская, 12/9",1.3,Тверская,174.0,2,8.3,2
Гостевой дом Пафос на Лубянке,"Москва, Варсонофьевский пер., д. 8",1.1,Кузнецкий Мост,235.0,3,7.9,nan
Отель Меркюр Арбат Москва,"Москва, Смоленская площадь 6",2.3,Смоленская,100.0,1,9.3,4
Мини-отель Базис-М,"Москва, Чистопрудный б-р, д. 11, стр. 1",1.8,Чистые Пруды,428.0,5,9.1,nan
Отель Barin Residence Grand,"Москва, пер. Милютинский, д. 2",1.2,Лубянка,393.0,5,9.3,4
Апартаменты На Автозаводской,"Москва, ул. Автозаводская, д. 19к1",5.9,Автозаводская,394.0,5,8.7,3
Бутик отель Печора,"Москва, Volokolamskoe Shosse 62",12.1,Щукинская,941.0,11,nan,3
Гостиница Gregory,"Москва, ул. Бауманская, д. 58/3, стр. 5",3.9,Бауманская,534.0,6,9.4,4
Апарт-отель YE'S Botanica,"Москва, 18 улица 1-я Леонова",10.2,Ботанический Сад,108.0,1,9.6,3
Гостиница Shelter-Hotels ВДНХ,"Москва, пр-т Мира, д. 184, стр. 1",8.5,ВДНХ,844.0,10,9.3,nan
